Account Name,Vertical,Industry (Research),Website,Annual Sales
conequippartsandequipmentllc,Wholesale and distribution services (MWD),Construction Equipment & Heavy Machinery Parts Distribution,,0
php,Manufacturing (MWD),Material Handling Equipment Manufacturing & Distribution,,"4,362,285"
ciamedical,Wholesale and distribution services (MWD),Medical Supplies Wholesale Distribution,,"15,840,397"
niagaramachine1,Wholesale and distribution services (MWD),Construction Equipment & Concrete Surface Preparation Distribution,,0
aquamatic,Manufacturing (MWD),Pool Safety Equipment Manufacturing,,"11,647,127"
FlowTurn,Manufacturing (MWD),Powered Belt Curves & Spiral Conveyors Manufacturing,flow-turn.com,"41,731,301"
jit,Manufacturing (MWD),"Textiles, Labels & Printing Products Distribution",,0
Eastwestemb2,Retail,Custom Embroidery & Apparel Services,gmail.com,0
windowmakeover1,Manufacturing (MWD),Window Treatments & Coverings,,0
ezloinnovation,Wholesale and distribution services (MWD),Smart Home Automation & IoT Platform,,0
globalgatecontrols,Retail,Access Control Equipment Distribution,,0
hmtca,Manufacturing (MWD),CNC Tube & Pipe Bending Equipment Manufacturing,,0
westernsquare1,Manufacturing (MWD),Agricultural & Industrial Metal Products Manufacturing,,0
lumax,Wholesale and distribution services (MWD),LED Lighting Manufacturing - Commercial/Industrial Retrofits,,0
westernpackaging,Wholesale and distribution services (MWD),Custom Flexible Packaging Manufacturing,,0
parlights,Wholesale and distribution services (MWD),Theatrical Lighting & Rigging Solutions,,"6,034,874"
SunshineUSALLC1,Manufacturing (MWD),MULTIPLE COMPANIES - Requires Clarification,,0
cdsanalytical,Manufacturing (MWD),Analytical Laboratory Instrumentation Manufacturing,,"5,366,037"
datamemorysales,Wholesale and distribution services (MWD),Computer Memory & Storage Distribution,,0
safaribeltingsystemsinc,Manufacturing (MWD),Plastic Modular Conveyor Belting Manufacturing,safaribelting.com,"19,048,115"
keastenterprises,Retail,"Agricultural, Construction & Forestry Equipment Distribution",,0
LPIShownetwork,Wholesale and distribution services (MWD),PENDING - Company Not Clearly Identified,,"4,054,373"
vpnz,Manufacturing (MWD),"Industrial Vacuum Pumps, Compressors & Blowers",,"1,471,923"
sunshinellc2023,Manufacturing (MWD),Hot Tub & Swim Spa Manufacturing/Retail,lpiinc.com,0
HundeggerNA,Manufacturing (MWD),CNC Timber Construction Machinery Manufacturing,,0
ctiusa,Manufacturing (MWD),MULTIPLE COMPANIES - Requires Clarification,,"7,138,066"
mdcarts1,Wholesale and distribution services (MWD),Luxury Electric Golf Carts & Recreational Vehicles Manufacturing,,0
division9associates,Wholesale and distribution services (MWD),Commercial Flooring Distribution - Multi-Line Sales Agency,,0
appackagingcorp,Manufacturing (MWD),Protective Packaging Manufacturing,,0
artbrandsllc,Manufacturing (MWD),Heat Transfer Manufacturing & Garment Decoration,,"2,411,022"
siegelperformancesystems,Wholesale and distribution services (MWD),Fitness & Rehabilitation Equipment Distribution,,0
mtausa,Wholesale and distribution services (MWD),Industrial Process Cooling & Compressed Air Treatment Manufacturing,,0
affordablemedical,Retail,MULTIPLE COMPANIES - Requires Clarification,,0
agralarm1,Manufacturing (MWD),Agricultural Monitoring & Alarm Systems - Poultry/Livestock,,"3,160,957"
hylunia,Manufacturing (MWD),Vegan & Natural Skincare Manufacturing,,"1,640,969"
audiovideosupply,Wholesale and distribution services (MWD),MULTIPLE COMPANIES - Requires Clarification,,"1,969,452"
trask2000,Manufacturing (MWD),Motorcycle Performance Parts & Custom Builds,,"9,147,962"
customequipmentcompanyinc,Manufacturing (MWD),Material Handling & Custom Packaging Solutions,,"3,499,233"
ssps,Manufacturing (MWD),Surface Preparation Equipment Manufacturing - Pavement/Flooring,,0
pickonus,Retail,Eco-Friendly Disposables - Restaurant & Hospitality Products,,0
pscfloturninc,Manufacturing (MWD),Powered Belt Curves & Spiral Conveyors Manufacturing,,0
vedafarming1,Wholesale and distribution services (MWD),Agricultural Equipment Sales - Innovative Farming Implements,,0
simplesolutionsandinnovationsinc,Manufacturing (MWD),Printing Trades Machinery Repair & Wholesale,,0
technisoilglobal,Wholesale and distribution services (MWD),Soil Stabilization & Eco-Friendly Pavement Solutions,,0
diamondTechnologies,Manufacturing (MWD),Industrial Automation & Data Collection Solutions,diamondt.com,"7,923,778"
apdminc,Manufacturing (MWD),Wearable Motion Sensors & Digital Health Technology,,"1,688,952"
photovaclasercorp,Wholesale and distribution services (MWD),CO2 Laser Repair & Remanufacturing Services,,"1,052,808"
swsgroup1,Wholesale and distribution services (MWD),Correctional Facility Equipment Distribution & Contracting,,0
psipressure,Manufacturing (MWD),High-Pressure Water-Blasting Equipment Manufacturing,,"1,414,859"
gexcorpCo1,Manufacturing (MWD),Dosimetry Products & Radiation Measurement Services,gexcorp.com,0
virginialabsupplycorp,Wholesale and distribution services (MWD),"Laboratory Equipment, Supplies & Chemicals Distribution",,"7,103,362"
hundegger,Manufacturing (MWD),CNC Timber Processing Machinery Manufacturing,,0
mbgakllc,Retail,Rural Alaska Grocery Delivery & Shipping,,"1,729,983"
ebproducts,Wholesale and distribution services (MWD),Patriotic & Military Apparel E-Commerce,,0
spus,Wholesale and distribution services (MWD),Automotive Promotional Products & Dealer Accessories,,"830,998"
aswsouth,Wholesale and distribution services (MWD),Boutique Wine Importing & Distribution - Florida Division,,"5,505,320"
calpacific,Wholesale and distribution services (MWD),Food Distribution - Rice & Dry Goods Specialist,,"23,519,325"
americanwholesaledistributors2,Wholesale and distribution services (MWD),Apparel & Custom Logo Branding Wholesale - awdinc.net,awdinc.net,"3,147,836"
cadsupplies1,Retail,Wide Format Printing Equipment & Supplies Distribution,,0
hsa,Wholesale and distribution services (MWD),Hydrological & Meteorological Equipment - Data Solutions,,"76,140"
ozopenergysystemsinc,Manufacturing (MWD),Renewable Energy Products & EV Charging Solutions,,0
stellalightinginc,Wholesale and distribution services (MWD),LED Task Lamp Design & Manufacturing,,0
okfoundry,Manufacturing (MWD),Gray & Ductile Iron Castings - Historic Restoration Specialist,,"1,102,200"
mytcoatcommercialoutdoorfurniture,Manufacturing (MWD),Commercial Outdoor Furniture Manufacturing - Proprietary Coating,mytcoat.com,"16,005,551"
excelpkgsystems,Wholesale and distribution services (MWD),Packaging Equipment & Supplies Distribution,,0
wowo,Wholesale and distribution services (MWD),Automotive Detailing Products Distribution,,0
nellieshairemporiumincnew,Wholesale and distribution services (MWD),Hair Extensions & Wigs Manufacturing - Canada,,"401,893"
ravizzausa,Manufacturing (MWD),PENDING RESEARCH,,"6,390"
onsight,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,585,839"
mjsystems,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
alcon,Manufacturing (MWD),PENDING RESEARCH,,0
servsixus,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
griffcovalve,Manufacturing (MWD),PENDING RESEARCH,griffcovalve.com,0
amesresearchinc,Manufacturing (MWD),PENDING RESEARCH,amesresearch.com,0
capitalcityawning3,Manufacturing (MWD),PENDING RESEARCH,capitalcityawning.com,"4,262,365"
arczonecominc,Manufacturing (MWD),PENDING RESEARCH,arc-zone.com,0
aquashieldenclosures,Manufacturing (MWD),PENDING RESEARCH,,"7,246,858"
Solavantilighting1,Manufacturing (MWD),PENDING RESEARCH,,"826,179"
altech,Manufacturing (MWD),PENDING RESEARCH,,0
spiritedbluffsllc,Wholesale and distribution services (MWD),PENDING RESEARCH,spiritedbluffs.com,"539,809"
idescosafetycorp,Wholesale and distribution services (MWD),PENDING RESEARCH,,"280,288"
pinnacleindustrialsupply,Wholesale and distribution services (MWD),PENDING RESEARCH,pinnacleca.com,0
nanoandmoreusa1,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,514,796"
ebg,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
tuffeventsllc,Manufacturing (MWD),PENDING RESEARCH,,0
sci92,Wholesale and distribution services (MWD),PENDING RESEARCH,,"3,003,617"
tastypuff,Wholesale and distribution services (MWD),PENDING RESEARCH,,"515,809"
flowerhouse,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
rapidfireprotectionnew,Wholesale and distribution services (MWD),PENDING RESEARCH,,"8,839,130"
mhqnewmexico,Manufacturing (MWD),PENDING RESEARCH,gmail.com,"15,084,202"
morepreparedCo2,Retail,PENDING RESEARCH,moreprepared.com,0
boutiqueampsdistribution,Manufacturing (MWD),PENDING RESEARCH,boutiqueampsdistribution.com,"19,671,366"
atlasbuildingsystems,Retail,PENDING RESEARCH,ijasolutions.com,0
MYGUTTERLOCK,Manufacturing (MWD),PENDING RESEARCH,,"1,400,287"
rfdistributor,Wholesale and distribution services (MWD),PENDING RESEARCH,rfdistributor.com,"890,456"
vcinc2,Retail,PENDING RESEARCH,,0
pinline,Manufacturing (MWD),PENDING RESEARCH,,0
triangleatlantic,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
wavedistro1,Wholesale and distribution services (MWD),PENDING RESEARCH,paschick.com,"3,104,368"
calcert,Wholesale and distribution services (MWD),PENDING RESEARCH,cal-cert.com,0
PlanetPOS,Wholesale and distribution services (MWD),PENDING RESEARCH,,"177,059"
BarrelBuildersInc,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
rgvegas,Retail,PENDING RESEARCH,,"156,945"
penwestcanada,Manufacturing (MWD),PENDING RESEARCH,,"1,842,312"
southwestpianos,Retail,PENDING RESEARCH,gmail.com,0
logoknits1,Manufacturing (MWD),PENDING RESEARCH,kmscoinc.com,0
fogartyslakeflowermarina,Retail,PENDING RESEARCH,hotmail.com,"150,279"
waterscienceinc,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
eu,Manufacturing (MWD),PENDING RESEARCH,,0
seaciderfarmandciderhouse,Manufacturing (MWD),PENDING RESEARCH,,"3,136,073"
fitnessandexercisesolutions3,Retail,PENDING RESEARCH,fitexsolutions.com,"2,616,628"
giantmicrobes,Retail,PENDING RESEARCH,,"1,261,028"
wrico,Wholesale and distribution services (MWD),PENDING RESEARCH,gmail.com,0
interstategraphics,Manufacturing (MWD),PENDING RESEARCH,,"3,515,365"
trinitychurchsupply,Wholesale and distribution services (MWD),PENDING RESEARCH,,"2,258,598"
gmfhospitalityinc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"16,896,581"
ranchandcointeriors,Manufacturing (MWD),PENDING RESEARCH,gmail.com,"6,011,755"
aquaview,Manufacturing (MWD),PENDING RESEARCH,,0
herzogveneers2,Wholesale and distribution services (MWD),PENDING RESEARCH,herzogveneers.com,0
liquitube,Manufacturing (MWD),PENDING RESEARCH,gmail.com,"1,410,598"
imagehomedecorlp,Wholesale and distribution services (MWD),PENDING RESEARCH,imagehomecenter.com,"931,179"
circlethreedesigns3,Manufacturing (MWD),PENDING RESEARCH,circlethreedesigns.com,0
thermolex,Wholesale and distribution services (MWD),PENDING RESEARCH,thermolex.com,0
epccigar,Wholesale and distribution services (MWD),PENDING RESEARCH,,"9,981,087"
derwasofwelshpoolltd2,Retail,PENDING RESEARCH,derwas.co.uk,0
lsut,Retail,PENDING RESEARCH,,"1,945,741"
hexcoreofamerica,Manufacturing (MWD),PENDING RESEARCH,hexcoreusa.com,0
kiccorporation,Wholesale and distribution services (MWD),PENDING RESEARCH,,"3,573,970"
lmoor,Wholesale and distribution services (MWD),PENDING RESEARCH,,"413,575"
maplevalley,Manufacturing (MWD),PENDING RESEARCH,maplevalley.coop,"7,442,879"
isavela,Manufacturing (MWD),PENDING RESEARCH,,0
winecountryconnection,Retail,PENDING RESEARCH,winecountryconnection.net,"4,971,150"
halamotors,Retail,PENDING RESEARCH,halamotors.ca,0
jsco,Retail,PENDING RESEARCH,,"576,648"
e2efoodpackinc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,734,724"
integriturf2,Wholesale and distribution services (MWD),PENDING RESEARCH,integriturf.com,"1,323,191"
smsprecisiontech2,Manufacturing (MWD),PENDING RESEARCH,smsprecisiontech.com,0
ibixsurfacetechnologies,Wholesale and distribution services (MWD),PENDING RESEARCH,,"649,822"
westerndovetailinc2,Manufacturing (MWD),PENDING RESEARCH,drawer.com,0
whclenterprises2,Wholesale and distribution services (MWD),PENDING RESEARCH,wehangchristmaslights.com,"304,963"
greatnorthernfishcompanyincorporationdbano,Wholesale and distribution services (MWD),PENDING RESEARCH,norfisk.is,0
eshhardwareandfarmsupplyllc2,Retail,PENDING RESEARCH,gmail.com,"1,429,941"
nedia,Manufacturing (MWD),PENDING RESEARCH,nedia.com,0
lillipadmarine2,Manufacturing (MWD),PENDING RESEARCH,lillipadmarine.com,"31,822,857"
hblzh,Manufacturing (MWD),PENDING RESEARCH,,"3,946,128"
maassociates,Manufacturing (MWD),PENDING RESEARCH,,"6,945,817"
luxurydistributiongroup,Manufacturing (MWD),PENDING RESEARCH,luxurydistributiongroup.com,"2,016,283"
stallwatch,Retail,PENDING RESEARCH,,0
fromtheretohereimports,Wholesale and distribution services (MWD),PENDING RESEARCH,,"357,968"
volitant2,Wholesale and distribution services (MWD),PENDING RESEARCH,volitant.tech,"9,613,750"
boninfantefrictioninc,Manufacturing (MWD),PENDING RESEARCH,boninfanteracing.com,0
mojofeet,Manufacturing (MWD),PENDING RESEARCH,,"907,476"
Keystone,Manufacturing (MWD),PENDING RESEARCH,sbsassociates.com,0
uniquedesignsolutionsllc,Manufacturing (MWD),PENDING RESEARCH,uds-az.com,"1,253,596"
merrimuseenterprisesllc,Retail,PENDING RESEARCH,,"246,947"
wagnerranchservices,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
dtcshycat1,Manufacturing (MWD),PENDING RESEARCH,dtcs-hycat.com,0
srwdistribution,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
eneconcorporation,Manufacturing (MWD),PENDING RESEARCH,,"7,121,127"
primefish,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
langemedical,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
dyetusainc,Wholesale and distribution services (MWD),PENDING RESEARCH,dyet.mx,"1,135,380"
datamemorymarketing,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
unitedcomponentsdistributionllc,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
HamptonRoadsVirginia,Wholesale and distribution services (MWD),PENDING RESEARCH,www.mobilitycity.com,0
coastaltransfers,Wholesale and distribution services (MWD),PENDING RESEARCH,coastaltransfers.com,"438,799"
RefreshAustralia,Manufacturing (MWD),PENDING RESEARCH,,"42,212"
restaurantfurniturecom,Retail,PENDING RESEARCH,,"3,796,494"
albertlpunktinc1,Wholesale and distribution services (MWD),PENDING RESEARCH,,"621,724"
swissmadebrandsusa2,Retail,PENDING RESEARCH,swissmadebrandsusa.com,"2,065,518"
vm5lightingsolutions,Wholesale and distribution services (MWD),PENDING RESEARCH,enhanceusa.com,"323,675"
exposuresfineart,Retail,PENDING RESEARCH,,"2,899,745"
kaossoftwearllc,Manufacturing (MWD),PENDING RESEARCH,,"445,756"
australiannaturalsoap,Wholesale and distribution services (MWD),PENDING RESEARCH,,"3,303,356"
ucoat,Wholesale and distribution services (MWD),PENDING RESEARCH,u-coat.com,"105,469"
Vagabondpetsupply,Manufacturing (MWD),PENDING RESEARCH,vagabondpetsupply.com,0
nomipackaging2,Wholesale and distribution services (MWD),PENDING RESEARCH,nomipackaging.com,0
omniausa,Manufacturing (MWD),PENDING RESEARCH,,"454,183"
ecocafs,Manufacturing (MWD),PENDING RESEARCH,ecocafs.com,"1,759,590"
terrazaspecialties,Wholesale and distribution services (MWD),PENDING RESEARCH,terrazaspecialties.com,0
tradepak2,Manufacturing (MWD),PENDING RESEARCH,tradepak.net,0
richcompower,Manufacturing (MWD),PENDING RESEARCH,richcompower.com,"8,417,995"
mcc,Manufacturing (MWD),PENDING RESEARCH,,"12,377,751"
bituox,Manufacturing (MWD),PENDING RESEARCH,bituox.com,"8,182,834"
goldengroveglobal,Manufacturing (MWD),PENDING RESEARCH,,"79,135"
op76cattle,Wholesale and distribution services (MWD),PENDING RESEARCH,,"2,933,639"
easternwearparts,Retail,PENDING RESEARCH,easternwearparts.com,"2,607,676"
StricklandsMyrtleBeach,Retail,PENDING RESEARCH,,0
rojascigarsllc,Wholesale and distribution services (MWD),PENDING RESEARCH,icloud.com,"2,959,936"
thierrylasry2,Wholesale and distribution services (MWD),PENDING RESEARCH,thierrylasry.com,"1,762,432"
cwfame,Manufacturing (MWD),PENDING RESEARCH,cwfame.com,"138,000"
supremeice,Manufacturing (MWD),PENDING RESEARCH,,"1,747,533"
megaelevatorparts2,Wholesale and distribution services (MWD),PENDING RESEARCH,pnatc.com,0
specialtechnicalservicesinc,Manufacturing (MWD),PENDING RESEARCH,specialtechnicalservices.com,0
blingmaster,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
houseofqcrm,Wholesale and distribution services (MWD),PENDING RESEARCH,,"324,361"
toolrange2,Retail,PENDING RESEARCH,aardwolfaustralia.com,"596,180"
trendysurfaces,Wholesale and distribution services (MWD),PENDING RESEARCH,trendysurfacesinc.com,"2,612,657"
dtaglobal,Manufacturing (MWD),PENDING RESEARCH,,"1,843,142"
multiresidentialsupplyltd,Wholesale and distribution services (MWD),PENDING RESEARCH,multiressupply.com,"5,099,778"
schemmbowlinginc,Wholesale and distribution services (MWD),PENDING RESEARCH,schemm.com,"2,704,627"
AffordableSeating,Retail,PENDING RESEARCH,,"2,395,042"
SeatingMasters,Retail,PENDING RESEARCH,,"5,299,266"
selectedfurniture,Wholesale and distribution services (MWD),PENDING RESEARCH,,"15,760,170"
RestaurantFurnitureSupply,Retail,PENDING RESEARCH,,"231,762"
AffordableSeatingLLC,Retail,PENDING RESEARCH,,"8,677,156"
RestaurantFurnitureNet,Retail,PENDING RESEARCH,,"10,733,572"
chempenn,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
dars,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
ftlenterprises,Wholesale and distribution services (MWD),PENDING RESEARCH,gmail.com,0
eqlocktest,Retail,Heavy Equipment Security Locks Manufacturing,equipmentlock.com,0
preferredbathinc,Manufacturing (MWD),PENDING RESEARCH,preferredbathinc.com,"1,695,450"
digpig,Manufacturing (MWD),PENDING RESEARCH,digpig.ca,0
hettaglogg,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
ppcindustries1,Manufacturing (MWD),PENDING RESEARCH,ppcair.com,0
smcclainstonecoinc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"9,493,960"
nantucketsinksusa,Wholesale and distribution services (MWD),PENDING RESEARCH,nantucketsinksusa.com,0
onwamarine2,Manufacturing (MWD),PENDING RESEARCH,onwamarine.com,"25,519,319"
briarford2,Wholesale and distribution services (MWD),PENDING RESEARCH,briarford.com,"1,026,535"
noorwholesale,Wholesale and distribution services (MWD),PENDING RESEARCH,gmail.com,"6,305,633"
glfast4,Manufacturing (MWD),PENDING RESEARCH,glfast.com,0
horticulturalalliancellc,Wholesale and distribution services (MWD),PENDING RESEARCH,gmail.com,"2,786,077"
breittechnologiesllc,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
biophotasincsandbox,Retail,Medical Device Manufacturing - LED Light Therapy,gmail.com,0
thecelticgroup,Wholesale and distribution services (MWD),PENDING RESEARCH,,"58,118,711"
dinosaw2,Manufacturing (MWD),PENDING RESEARCH,dinosaw.com,"6,168,523"
durawattle,Manufacturing (MWD),PENDING RESEARCH,,"938,189"
vintedgewinery,Wholesale and distribution services (MWD),PENDING RESEARCH,bespokewinerysolutions.com,"7,034,942"
sunriseindustrialcleanersinc,Manufacturing (MWD),PENDING RESEARCH,sunriseindustrial.com,"2,707,681"
amariesbathflowershop3,Manufacturing (MWD),PENDING RESEARCH,amariesbathflowershop.com,0
rcswiftllc,Wholesale and distribution services (MWD),PENDING RESEARCH,swiftarrow.com,0
davantllc,Wholesale and distribution services (MWD),PENDING RESEARCH,davantcorp.com,"82,947"
codipsausa,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,829,159"
webcoteindustries2,Manufacturing (MWD),PENDING RESEARCH,,"1,359,627"
lionoutdoor,Manufacturing (MWD),PENDING RESEARCH,durabikelocker.com,0
americantankcoinc2,Manufacturing (MWD),PENDING RESEARCH,www.watertanks.com,0
twobirds,Wholesale and distribution services (MWD),PENDING RESEARCH,twobirds.coffee,"855,821"
southernaggregates2,Wholesale and distribution services (MWD),PENDING RESEARCH,southernaggregates.com,"1,319,869"
ippowerhouse,Wholesale and distribution services (MWD),PENDING RESEARCH,ippowerhouse.com,"1,266,810"
thepoolenclosureguys,Manufacturing (MWD),PENDING RESEARCH,gmail.com,"761,986"
aedeschristiholdingsincdbadubalbros,Wholesale and distribution services (MWD),PENDING RESEARCH,outlook.com,"796,556"
badgerham,Manufacturing (MWD),PENDING RESEARCH,,"7,573,402"
pesaventollc,Manufacturing (MWD),PENDING RESEARCH,gmail.com,0
fullcitysupply3,Wholesale and distribution services (MWD),PENDING RESEARCH,fullcitysupply.com,"1,036,292"
raicescubanascigarsusainc2,Wholesale and distribution services (MWD),PENDING RESEARCH,raicescubanas.com,"281,069"
integratedmedical,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
sportexsales,Wholesale and distribution services (MWD),PENDING RESEARCH,,"7,790,265"
farmtosummit,Manufacturing (MWD),PENDING RESEARCH,farmtosummit.com,"821,396"
aquaticnutritioninc,Retail,PENDING RESEARCH,,"708,793"
dylanwilliamscpa,Manufacturing (MWD),PENDING RESEARCH,,0
paragonshuttersinternationalptyltd,Wholesale and distribution services (MWD),PENDING RESEARCH,paragonshutters.com.au,0
jentschcompany,Manufacturing (MWD),PENDING RESEARCH,jentschcompany.com,"639,791"
standardvinyl,Manufacturing (MWD),PENDING RESEARCH,standardvinyl.com,"548,729"
pridgenbrothers,Wholesale and distribution services (MWD),PENDING RESEARCH,pridgenbrothers.com,"4,514,474"
hblindia,Manufacturing (MWD),"Textiles, Labels & Printing Products Distribution",,0
assembledproductspecialists,Wholesale and distribution services (MWD),PENDING RESEARCH,,"4,074,678"
marcatodirectlimited2,Wholesale and distribution services (MWD),PENDING RESEARCH,marcatodirect.com,"854,105"
dpalex,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
lloydwatersandassociates,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,526,592"
wtidistributioninc,Wholesale and distribution services (MWD),PENDING RESEARCH,wtidi.com,"16,816,629"
flightsalesgroup,Wholesale and distribution services (MWD),PENDING RESEARCH,flightsalesgroup.com,"5,375,007"
chefschoicelv,Wholesale and distribution services (MWD),PENDING RESEARCH,chefschoicelv.com,"6,270,050"
ruedawineco,Retail,PENDING RESEARCH,,"39,301,619"
ensureaseal2,Wholesale and distribution services (MWD),PENDING RESEARCH,ensureaseal.com,"3,745,921"
modisystems,Manufacturing (MWD),PENDING RESEARCH,modisystems.com,0
silvertecmfginc2,Manufacturing (MWD),PENDING RESEARCH,silvertec.ca,"1,053,066"
golfinvite2,Wholesale and distribution services (MWD),PENDING RESEARCH,golfinvite.com,"892,627"
hallknifeandforge,Manufacturing (MWD),PENDING RESEARCH,hallknifeandforge.com,0
prosourcegroup,Wholesale and distribution services (MWD),PENDING RESEARCH,,"2,691,686"
acsdistributionllc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"86,400"
smuckerpelleting,Manufacturing (MWD),PENDING RESEARCH,smuckerpelleting.com,0
fishtnkinc,Manufacturing (MWD),PENDING RESEARCH,fishtnk.com,"252,240"
fbfnorthamerica,Manufacturing (MWD),PENDING RESEARCH,fbfnorthamerica.com,"3,969,099"
surecaninc,Manufacturing (MWD),PENDING RESEARCH,,0
kerrywilkensinc,Manufacturing (MWD),PENDING RESEARCH,jeanscanvas.com,"812,954"
lumasam,Manufacturing (MWD),PENDING RESEARCH,,"412,652"
grazianobrothers,Wholesale and distribution services (MWD),PENDING RESEARCH,,"10,351,664"
artisanclassicorganinc,Retail,PENDING RESEARCH,,0
elixirwinegroup2,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,523,435"
opulencewoodproducts,Wholesale and distribution services (MWD),PENDING RESEARCH,gmail.com,"1,630,936"
seatinghub2,Retail,PENDING RESEARCH,,"1,218,157"
prompterpeople2,Retail,PENDING RESEARCH,,"6,459,091"
ocutech,Manufacturing (MWD),PENDING RESEARCH,,0
suitepieces,Retail,PENDING RESEARCH,,"1,200"
highaltitudemanufacturingglobalinc,Manufacturing (MWD),PENDING RESEARCH,gmail.com,"54,546"
